Concentration,Forecast
23.1,15.315854630296275
14.1,11.600972056206295
15.8,11.815292204711488
14.4,16.816095669832613
-6.4,0.09912408642770565
0.8,-6.18760026972457
16.9,12.958332996739173
19.8,18.816417055881065
-1.7,5.385687749555753
13.2,5.8143280465661356
6.1,3.4568064130090326
-2.4,6.885928789092091
11.8,9.600650670157846
1.2,3.5282464625107632
-2.2,0.09912408642770565
18.5,12.3153725512236
5.7,7.886089482116317
12.0,13.029773046240905
10.5,14.958654382787625
9.2,8.100409630621508
24.4,13.815613590759938
29.8,14.744334234282434
12.2,20.530978243922597
21.0,22.316979481465857
-5.9,-2.044077398624207
6.7,9.886410868164766
12.4,15.315854630296275
1.2,3.4568064130090326
9.1,8.100409630621508
11.2,11.172331759195915
12.3,7.528889234607664
8.9,13.958493689763399
16.0,7.671769333611126
8.7,16.24457527381877
2.5,9.672090719659577
6.0,7.171688987099013
5.2,11.315211858199374
16.8,18.31633670936895
8.1,14.815774283784164
13.2,6.314408393078248
12.0,7.528889234607664
25.1,20.60241829342432
-1.8,-6.830560715240143
6.7,12.24393250172187
21.1,20.816738441929516
6.3,7.814649432614586
8.1,9.100570323645734
-3.5,3.9568867595211454
19.5,14.958654382787625
8.3,12.886892947237444
11.8,7.2431290366007435
18.4,20.745298392427785
18.4,23.888660570503923
15.7,13.315533244247826
19.8,8.743370076137081
13.7,5.8143280465661356
2.5,7.9575295316180465
10.1,14.744334234282434
-1.5,1.5993651259640416
-1.7,-0.7581565075930605
20.9,14.315693937272052
4.2,0.5277643834380878
3.8,10.672251412683803
10.9,13.458413343251285
17.1,19.24505735289145
15.5,9.814970818663037
14.6,12.029612353216677
13.9,12.886892947237444
3.9,2.885286016995191
12.4,15.744494927306658
12.7,11.315211858199374
16.4,21.816899134953744
-2.0,-7.759281358762635
11.8,11.958172303714948
6.1,1.1707248289536611
18.7,17.74481631335511
-11.5,1.8136852744692344
14.3,15.458734729299739
17.5,16.887535719334345
6.2,7.9575295316180465
18.0,6.5287285415834395
22.8,10.743691462185533
13.4,6.45728849208171
20.6,16.887535719334345
16.1,18.31633670936895
17.9,12.815452897735714
11.2,14.887214333285893
12.8,6.100088244573057
11.4,8.171849680123238
11.4,10.815131511687262
-12.8,-1.2582368541051743
14.6,20.173777996413943
21.7,12.3153725512236
0.6,8.814810125638811
19.0,18.10201656086376
1.0,2.0280054229744238
13.7,12.3153725512236
16.4,8.957690224642272
3.2,3.7425666110159534
25.4,16.10169517481531
-3.1,3.2424862645038415
26.2,22.817059827977968
11.0,6.5287285415834395
12.9,8.743370076137081
23.7,17.60193621435165
8.0,5.8143280465661356
15.5,8.52904992763189
11.4,5.6000078980609445
-4.2,-4.973119428195153
15.2,5.171367601050561
-2.9,0.8849646309467385
-7.9,-6.830560715240143
23.9,13.744173541258208
12.6,15.458734729299739
-4.4,3.385366363507303
6.1,9.957850917666498
14.0,15.101534481791084
10.2,10.743691462185533
-1.1,1.956565373472694
8.5,9.672090719659577
19.4,12.67257279873225
6.8,7.386009135604205
3.6,15.81593497680839
26.8,19.6022576004001
6.8,6.100088244573057
14.2,8.52904992763189
1.1,1.5993651259640416
17.8,17.030415818337804
2.9,5.6000078980609445
14.7,6.885928789092091
-4.4,4.528407155534988
15.5,8.814810125638811
23.4,15.88737502631012
17.4,12.601132749230523
0.9,1.8851253239709642
11.4,12.815452897735714
10.6,14.10137378876686
11.3,17.030415818337804
7.8,16.24457527381877
4.4,1.3136049279571207
13.8,10.029290967168228
-0.7,4.099766858524607
8.6,9.600650670157846
-9.8,-1.9726373491224791
8.6,13.101213095742633
16.2,13.101213095742633
10.5,14.601454135278974
23.4,15.530174778801468
24.3,14.315693937272052
-17.0,-8.402241804278212
23.2,10.243611115673419
22.3,17.173295917341264
20.4,22.38841953096758
-11.6,1.5993651259640416
4.9,11.743852155209758
10.8,9.314890472150925
1.1,5.742887997064405
11.0,10.600811363182071
10.4,9.600650670157846
25.5,18.459216808372414
1.6,2.3137656209813464
3.0,8.957690224642272
-1.2,-2.687037844139782
7.9,12.17249245222014
-2.5,1.8851253239709642
5.2,7.528889234607664
3.7,-0.4009562600844063
9.1,13.244093194746096
16.0,21.67401903595028
16.6,10.743691462185533
18.6,20.888178491431248
11.1,12.24393250172187
16.4,3.6711265615142237
15.5,19.17361730338972
8.7,15.172974531292816
16.3,19.102177253887987
-5.9,0.3848842844346265
9.0,6.885928789092091
21.2,17.530496164849918
-4.4,3.3139263140055712
13.7,15.601614828303198
13.1,18.387776758870682
13.3,18.31633670936895
17.9,20.60241829342432
-2.5,-4.973119428195153
2.4,4.456967106033258
22.5,22.959939926981427
8.0,12.17249245222014
5.6,4.528407155534988
28.0,18.673536956877605
-0.9,-4.11583883417439
22.3,17.173295917341264
-9.1,0.027684036925975875
-0.3,-3.1871181906518906
20.0,9.957850917666498
16.4,13.601293442254747
11.1,18.744977006379337
0.7,5.742887997064405
16.9,14.172813838268588
9.2,14.458574036275511
16.7,19.17361730338972
-1.0,-6.759120665738411
8.3,5.385687749555753
-6.4,-2.6155977946380506
5.7,7.886089482116317
4.6,1.0992847794519314
-8.0,4.456967106033258
20.3,16.24457527381877
-7.1,3.599686512012494
9.3,9.314890472150925
14.8,9.314890472150925
-4.6,0.9564046804484683
12.5,7.457449185105935
1.7,6.885928789092091
5.1,4.95704745254537
12.4,18.24489665986722
5.0,9.100570323645734
14.1,10.100731016669958
8.7,9.029130274144002
23.3,13.744173541258208
13.4,15.030094432289355
0.2,0.2420041854311652
21.1,16.38745537282223
18.6,16.38745537282223
-0.9,-0.11519606207748545
16.8,16.10169517481531
0.9,3.5282464625107632
15.5,16.24457527381877
1.8,10.45793126417861
23.4,25.17458146153507
-6.9,1.0992847794519314
0.2,-3.6871985371640044
-1.5,-6.116160220222838
11.0,9.457770571154384
19.9,16.10169517481531
13.9,7.7432093831128554
0.5,2.0280054229744238
13.9,8.814810125638811
16.9,16.10169517481531
