Concentration,label,Forecast
0.0412,0.0278,
0.02455,0.0278,
0.0253,0.03675,
0.0505,0.03675,
0.0395,0.03675,
0.039571,0.03675,
0.077333,0.0375,
0.085231,0.0375,
0.0418,0.0375,
0.047,0.0586,
0.0617,0.0586,
0.0894,0.0586,
0.10405,0.0586,
0.0737,0.0586,
0.0622,0.125,
0.10355,0.125,
0.10545,0.125,
0.07175,0.03385,
0.0667,0.03385,
0.15135,0.03385,
0.0894,0.03385,
0.1635,0.02705,
0.1463,0.02705,
0.1626,0.02705,
0.145,0.02705,
0.09465,0.0431,
0.1122,0.0431,
0.09675,0.0431,
0.08685,0.0431,
0.0972,0.0431,
0.08255,0.0118,
0.07275,0.0118,
0.0987,0.0118,
0.1705,0.0118,
0.1034,0.0348,
0.08415,0.0348,
0.0556,0.0348,
0.07245,0.0348,
0.05545,0.05705,
0.024474,0.05705,
0.1042,0.05705,
0.035,0.05705,
0.0424,0.0564,
0.05115,0.0564,
0.0341,0.0564,
0.0191,0.0564,
0.0269,0.0897,
0.034,0.0897,
0.03185,0.0897,
0.0291,0.0897,
0.02325,0.0361,
0.0217,0.0361,
0.0297,0.0361,
0.01565,0.0361,
0.0244,0.0291,
0.02975,0.0291,
0.0471,0.0291,
0.032895,0.06975,
0.03015,0.06975,
0.03275,0.06975,
0.03665,0.06975,
0.04865,0.06535,
0.05295,0.06535,
0.06995,0.06535,
0.0579,0.06535,
0.0684,0.06535,
0.0729,0.04085,
0.0794,0.04085,
0.048,0.04085,
0.0416,0.02095,
0.0677,0.02095,
0.12625,0.02095,
0.06235,0.02095,
0.17405,0.0173,
0.13245,0.0173,
0.0714,0.0173,
0.11265,0.0173,
0.07965,0.0218,
0.06965,0.0218,
0.07815,0.0218,
0.07225,0.0218,
0.06175,0.0233,
0.04585,0.0233,
0.0431,0.0233,
0.045632,0.0233,
0.04585,0.0233,
0.06115,0.0233,
0.0486,0.01415,
0.05495,0.01415,
0.0567,0.01415,
0.05945,0.06975,
0.0467,0.06975,
0.05155,0.06975,
0.05235,0.06975,
0.06185,0.11045,
0.0444,0.11045,
0.04365,0.11045,
0.0475,0.11045,
0.0436,0.0313,
0.0516,0.0313,
0.0817,0.0313,
0.0536,0.0313,
0.04985,0.03215,
0.045789,0.03215,
0.045,0.03215,
0.0443,0.03215,
0.04745,0.04815,
0.02355,0.04815,
0.023,0.04815,
0.02395,0.04815,
0.0275,0.0476,
0.03725,0.0476,
0.0412,0.0476,
0.0279,0.0476,
0.0279,0.0537,
0.0279,0.0537,
0.0279,0.0537,
0.02935,0.07265,
0.02935,0.07265,
0.02935,0.07265,
0.044,0.07265,
0.044,0.02705,
0.044,0.02705,
0.044,0.02705,
0.044,0.02705,
0.04455,0.02705,
0.04455,0.0149,
0.04455,0.0149,
0.04455,0.0149,
0.05725,0.053,
0.05725,0.053,
0.05725,0.053,
0.05725,0.053,
0.07875,0.0467,
0.07875,0.0467,
0.07875,0.0467,
0.06045,0.0467,
0.06045,0.0316,
0.06045,0.0316,
0.06045,0.0316,
0.0413,0.0316,
0.0413,0.0316,
0.0413,0.02265,
0.0413,0.02265,
0.07595,0.02265,
0.07595,0.02265,
0.07595,0.039,
0.07595,0.039,
0.08055,0.039,
0.08055,0.039,
0.08055,0.02785,
0.08055,0.02785,
0.08055,0.02785,
0.0537,0.02785,
0.0537,0.0215,
0.0537,0.0215,
0.0537,0.0215,
0.03655,0.0215,
0.03655,0.03135,
0.03655,0.03135,
0.03655,0.03135,
0.03485,0.03135,
0.03485,0.07815,
0.03485,0.07815,
0.03485,0.07815,
0.03695,0.04545,
0.03695,0.04545,
0.03695,0.04545,
0.03695,0.04545,
0.0355,0.0195,
0.0355,0.0195,
0.0355,0.0195,
0.04735,0.0195,
0.04735,0.0195,
0.04735,0.0541,
0.04735,0.0541,
0.0591,0.0541,
0.0591,0.03445,
0.0591,0.03445,
0.0591,0.03445,
0.0577,0.03445,
0.0577,0.0929,
0.0577,0.0929,
0.0577,0.0929,
0.0577,0.0929,
0.0481,0.04385,
0.0481,0.04385,
0.0481,0.04385,
0.0481,0.04385,
0.05185,0.0261,
0.05185,0.0261,
0.05185,0.0261,
0.05185,0.0261,
0.02965,0.02055,
0.02965,0.02055,
0.02965,0.02055,
0.02965,0.02055,
0.0293,0.02055,
0.0293,0.02265,
0.0293,0.02265,
0.0293,0.02265,
0.0403,0.02265,
0.0403,0.02265,
0.0403,0.0234,
0.0403,0.0234,
0.08335,0.0234,
0.08335,0.02845,
0.08335,0.02845,
0.119,0.02845,
0.119,0.02845,
0.119,0.03755,
0.119,0.03755,
0.0855,0.03755,
0.0855,0.03755,
0.0855,0.039,
0.0855,0.039,
0.0666,0.039,
0.0666,0.039,
0.0666,0.0297,
0.0666,0.0297,
0.09685,0.0297,
0.09685,0.0203,
0.09685,0.0203,
0.09685,0.0203,
0.09685,0.0203,
0.09375,0.0203,
0.09375,0.01775,
0.09375,0.01775,
0.09375,0.01775,
0.094842,0.01775,
0.094842,0.0249,
0.094842,0.0249,
0.11575,0.0249,
0.11575,0.0249,
0.11575,0.0233,
0.11575,0.0233,
0.11575,0.0233,
0.1097,0.02535,
0.1097,0.02535,
0.1097,0.02535,
0.0979,0.02535,
0.0979,0.03275,
0.0979,0.03275,
0.0979,0.03275,
0.0979,0.03275,
0.1331,0.02135,
0.1331,0.02135,
0.1331,0.02135,
0.1331,0.02135,
0.1193,0.02135,
0.1193,0.017526,
0.1193,0.017526,
0.1193,0.017526,
0.11065,0.0152,
0.11065,0.0152,
0.11065,0.0152,
0.11365,0.0152,
0.11365,0.0152,
0.11365,0.01565,
0.11365,0.01565,
0.10585,0.01565,
0.10585,0.01565,
0.10585,0.0126,
0.10585,0.0126,
0.10745,0.0126,
0.10745,0.0126,
0.10745,0.01395,
0.10745,0.01395,
0.10745,0.01395,
0.1137,0.01395,
0.1137,0.0126,
0.1137,0.0126,
0.1137,0.0126,
0.11925,0.01635,
0.11925,0.01635,
0.11925,0.01635,
