Concentration,label,Forecast
0.456697,0.981589,
0.450923,1.390935,
0.436593,1.390935,
0.42471,1.269238,
0.406093,1.269238,
0.389301,1.269238,
0.409969,1.313706,
0.392176,1.313706,
0.331499,1.313706,
0.331391,1.313706,
0.360212,1.377692,
0.563306,1.377692,
0.449176,1.377692,
0.371482,1.377692,
0.3684,1.376937,
0.354822,1.376937,
0.367738,1.376937,
0.455924,1.376937,
0.49706,1.16745,
0.546646,1.16745,
0.713427,1.16745,
0.57388,1.213189,
0.583777,1.213189,
0.624524,1.213189,
0.718364,1.213189,
0.590137,1.213189,
0.703689,1.813478,
0.758622,1.813478,
0.779396,1.813478,
0.885028,1.813478,
0.883782,1.304671,
0.635979,1.304671,
0.560526,1.304671,
0.692429,1.210151,
0.692188,1.210151,
0.841765,1.210151,
0.915202,1.210151,
0.844011,1.210151,
0.836924,1.285671,
1.024454,1.285671,
0.650087,1.285671,
0.913065,1.170591,
0.807606,1.170591,
1.029445,1.170591,
0.893895,1.170591,
0.898203,1.179923,
0.815524,1.179923,
0.828072,1.179923,
0.942106,1.179923,
0.907542,1.179923,
0.651054,1.421689,
0.486955,1.421689,
0.542318,1.421689,
0.506691,1.421689,
0.525002,1.429662,
0.459777,1.429662,
0.496972,1.429662,
0.546774,1.429662,
0.560458,1.329433,
0.47766,1.329433,
0.417703,1.329433,
0.42964,1.329433,
0.469837,1.398882,
0.469872,1.398882,
0.470153,1.398882,
0.414318,1.260027,
0.391467,1.260027,
0.399765,1.260027,
0.422828,1.260027,
0.470915,1.260027,
0.437682,1.248299,
0.445531,1.248299,
0.430504,1.248299,
0.437111,1.071165,
0.460389,1.071165,
0.433773,1.071165,
0.472925,1.071165,
0.515385,1.071165,
0.52501,1.008424,
0.566508,1.008424,
0.529392,1.008424,
0.62486,0.938868,
0.976294,0.938868,
1.444035,0.938868,
1.277536,0.938868,
0.85781,0.938868,
1.124498,0.795018,
1.445295,0.795018,
0.822664,0.795018,
0.917642,0.771622,
0.92819,0.771622,
0.922894,0.771622,
1.087276,0.771622,
1.37847,0.771622,
1.263587,0.866612,
1.182393,0.866612,
1.198579,0.866612,
0.990968,0.866612,
0.972417,0.829974,
1.068274,0.829974,
1.085049,0.829974,
1.264612,0.829974,
1.276555,0.812582,
0.988214,0.812582,
0.904562,0.812582,
0.849243,0.812582,
0.865186,1.287462,
1.010019,1.287462,
1.105307,1.287462,
0.856908,1.287462,
1.082107,0.601816,
1.516452,0.601816,
1.016761,0.601816,
1.011755,0.699914,
0.788181,0.699914,
0.714763,0.699914,
0.633175,0.699914,
0.647397,0.699914,
0.58636,0.937238,
0.58023,0.937238,
0.644376,0.937238,
0.726093,0.937238,
0.613908,0.496855,
0.507584,0.496855,
0.464781,0.496855,
0.398308,0.496855,
0.37955,0.472145,
0.410538,0.472145,
0.341707,0.472145,
0.346131,0.442867,
0.351763,0.442867,
0.350345,0.442867,
0.283366,0.442867,
0.281926,0.42161,
0.278435,0.42161,
0.271168,0.42161,
0.266858,0.42161,
0.273037,0.419816,
0.293232,0.419816,
0.278694,0.419816,
0.278544,0.419816,
0.28511,0.419816,
0.303388,0.355377,
0.325657,0.355377,
0.319841,0.355377,
0.304079,0.355377,
0.295629,0.359447,
0.299852,0.359447,
0.299072,0.359447,
0.290845,0.359447,
0.292103,0.2869,
0.296402,0.2869,
0.317951,0.2869,
0.334684,0.2869,
0.433751,0.270018,
0.464212,0.270018,
0.480332,0.270018,
0.529675,0.270018,
0.554378,0.243506,
0.530094,0.243506,
0.577294,0.243506,
0.563006,0.243506,
0.922129,0.241601,
1.051395,0.241601,
0.837239,0.241601,
0.897786,0.243476,
0.783175,0.243476,
0.8435,0.243476,
0.828268,0.243476,
0.678443,0.243476,
0.825135,0.26159,
0.730101,0.26159,
0.784624,0.26159,
0.782339,0.26159,
0.814999,0.219278,
0.758237,0.219278,
0.738102,0.219278,
0.764392,0.219278,
0.773688,0.228993,
0.72054,0.228993,
0.639734,0.228993,
0.768008,0.243852,
0.992377,0.243852,
1.006543,0.243852,
0.968559,0.243852,
0.926965,0.241002,
0.85426,0.241002,
0.843305,0.241002,
0.825444,0.241002,
0.857154,0.241002,
0.760871,0.295469,
0.749399,0.295469,
0.760143,0.295469,
0.70916,0.295469,
0.702655,0.217674,
0.714388,0.217674,
0.648052,0.217674,
0.584082,0.220832,
0.572517,0.220832,
0.544644,0.220832,
0.492725,0.220832,
0.569644,0.220832,
0.488404,0.241203,
0.463015,0.241203,
0.45955,0.241203,
0.428541,0.244347,
0.428205,0.244347,
0.39362,0.244347,
0.37815,0.244347,
0.361042,0.241,
0.337968,0.241,
0.342415,0.241,
0.330231,0.241,
0.32244,0.256261,
0.330646,0.256261,
0.337405,0.256261,
0.352933,0.256261,
0.385376,0.256261,
0.414819,0.276986,
0.432048,0.276986,
0.387862,0.276986,
0.390872,0.276986,
0.386357,0.343163,
0.378766,0.343163,
0.397442,0.343163,
0.449348,0.328291,
0.530362,0.328291,
0.761596,0.328291,
0.820979,0.328291,
0.633277,0.357901,
0.816765,0.357901,
0.86432,0.357901,
0.928726,0.357901,
0.86453,0.408412,
0.946108,0.408412,
1.055687,0.408412,
0.889379,0.408412,
0.818608,0.408412,
0.802163,0.541401,
0.933617,0.541401,
0.766543,0.541401,
0.803641,0.541401,
0.914782,0.781925,
0.934053,0.781925,
1.076953,0.781925,
1.107545,0.781925,
0.99443,0.703442,
0.844283,0.703442,
0.934342,0.703442,
1.047877,0.703442,
0.92027,0.916354,
1.175185,0.916354,
1.221403,0.916354,
1.140697,0.916354,
1.223001,1.079406,
1.093927,1.079406,
1.140726,1.079406,
1.235964,0.985901,
1.865454,0.985901,
2.48673,0.985901,
2.403156,0.985901,
2.092886,0.985901,
1.353553,1.542552,
1.181032,1.542552,
1.223934,1.542552,
1.536707,1.542552,
2.026356,1.310614,
1.653031,1.310614,
1.249933,1.310614,
1.120802,1.310614,
1.766266,1.373855,
2.146396,1.373855,
1.773174,1.373855,
1.499121,1.27801,
1.367729,1.27801,
1.318218,1.27801,
1.285956,1.27801,
0.784082,1.27801,
0.690771,1.414226,
0.565701,1.414226,
0.520375,1.414226,
0.48402,1.414226,
